subject,age,sex
100,15,Maennlich
10,10,Weiblich
102,19,Weiblich
103,20,Maennlich
104,18,Weiblich
105,19,Maennlich
106,22,Weiblich
107,23,Maennlich
108,23,Maennlich
109,24,Weiblich
110,25,Maennlich
11,10,Weiblich
111,25,Weiblich
1,11,Weiblich
112,24,Weiblich
113,25,Maennlich
114,25,Weiblich
115,24,Weiblich
116,25,Weiblich
117,22,Weiblich
118,21,Weiblich
119,21,Weiblich
120,22,Maennlich
12,11,Maennlich
121,23,Weiblich
122,21,Weiblich
123,21,Maennlich
124,22,Maennlich
125,22,Maennlich
126,21,Weiblich
127,25,Weiblich
128,22,Maennlich
129,25,Maennlich
130,22,Maennlich
13,11,Weiblich
131,22,Weiblich
132,24,Weiblich
133,23,Maennlich
134,22,Maennlich
135,20,Weiblich
136,23,Weiblich
137,18,Weiblich
138,21,Maennlich
139,25,Weiblich
140,23,Maennlich
141,24,Maennlich
14,12,Weiblich
142,21,Maennlich
143,24,Maennlich
144,22,Maennlich
145,23,Maennlich
146,22,Weiblich
147,22,Maennlich
148,22,Maennlich
149,25,Weiblich
150,23,Maennlich
151,13,Maennlich
15,12,Weiblich
152,10,Maennlich
153,10,Maennlich
154,10,Maennlich
155,10,Maennlich
156,10,Maennlich
157,10,Maennlich
158,12,Maennlich
159,13,Maennlich
160,12,Maennlich
161,12,Maennlich
16,13,Weiblich
162,13,Maennlich
163,12,Maennlich
164,12,Weiblich
165,12,Weiblich
166,14,Weiblich
167,14,Weiblich
168,16,Weiblich
169,16,Weiblich
170,16,Weiblich
171,18,Maennlich
17,12,Weiblich
172,18,Maennlich
173,17,Maennlich
174,17,Weiblich
175,17,Weiblich
176,17,Weiblich
177,18,Maennlich
178,18,Maennlich
179,18,Maennlich
180,18,Maennlich
181,18,Weiblich
18,11,Weiblich
182,18,Weiblich
183,18,Weiblich
185,19,Maennlich
186,19,Maennlich
187,19,Maennlich
188,19,Weiblich
189,19,Weiblich
190,19,Weiblich
191,19,Weiblich
19,11,Weiblich
192,20,Maennlich
193,20,Maennlich
194,20,Maennlich
195,20,Maennlich
196,20,Weiblich
197,21,Weiblich
198,20,Weiblich
199,20,Weiblich
200,19,Maennlich
20,10,Maennlich
2,10,Weiblich
21,11,Weiblich
22,11,Maennlich
23,11,Weiblich
24,11,Weiblich
25,11,Maennlich
26,11,Maennlich
27,11,Maennlich
28,11,Weiblich
29,11,Maennlich
30,13,Maennlich
31,10,Weiblich
3,12,Maennlich
32,11,Maennlich
33,11,Maennlich
34,11,Weiblich
35,11,Weiblich
36,10,Weiblich
37,11,Weiblich
38,10,Maennlich
39,10,Weiblich
40,12,Maennlich
4,10,Maennlich
41,11,Weiblich
42,10,Maennlich
43,10,Weiblich
44,10,Weiblich
45,10,Maennlich
46,26,Maennlich
47,12,Maennlich
48,10,Weiblich
49,10,Maennlich
50,10,Weiblich
51,16,Maennlich
5,12,Weiblich
52,17,Maennlich
53,14,Weiblich
54,18,Weiblich
55,13,Weiblich
56,16,Maennlich
57,13,Weiblich
58,17,Maennlich
59,13,Maennlich
60,13,Weiblich
61,16,Weiblich
6,12,Weiblich
62,13,Weiblich
63,17,Maennlich
64,14,Maennlich
65,17,Maennlich
66,15,Maennlich
67,15,Maennlich
68,17,Maennlich
69,14,Maennlich
70,14,Maennlich
71,15,Weiblich
7,12,Maennlich
72,15,Maennlich
73,16,Weiblich
74,15,Weiblich
75,14,Maennlich
76,15,Maennlich
77,16,Maennlich
78,17,Weiblich
79,16,Maennlich
80,15,Maennlich
81,15,Maennlich
8,11,Weiblich
82,16,Maennlich
83,15,Weiblich
84,14,Maennlich
85,17,Maennlich
86,14,Maennlich
87,13,Maennlich
88,15,Weiblich
89,13,Weiblich
90,16,Maennlich
91,13,Maennlich
9,11,Weiblich
92,14,Maennlich
93,14,Maennlich
94,16,Weiblich
95,14,Maennlich
96,15,Maennlich
97,13,Maennlich
98,16,Maennlich
99,15,Maennlich
